Q2,lifeSat
18,5.542857142857143
19,5.810344827586207
20,5.961538461538462
21,6.232323232323233
22,6.380165289256198
23,6.0777777777777775
24,6.340425531914893
25,5.971014492753623
26,5.440476190476191
27,6.375
28,6.315789473684211
29,5.793103448275862
30,6.763888888888889
31,6.495145631067961
32,6.484210526315789
33,6.209876543209877
34,6.304347826086956
35,6.380434782608695
36,6.806451612903226
37,5.7727272727272725
38,6.083333333333333
39,6.216494845360825
40,6.876712328767123
41,6.373626373626373
42,6.492957746478873
43,6.228571428571429
44,6.550724637681159
45,6.0625
46,6.136842105263158
47,6.506666666666667
48,6.224719101123595
49,6.650602409638554
50,6.406593406593407
51,6.531531531531532
52,6.125
53,6.681818181818182
54,6.493333333333333
55,6.882978723404255
56,6.65625
57,6.50561797752809
58,6.540229885057471
59,6.785714285714286
60,6.4787234042553195
61,6.9222222222222225
62,6.7075471698113205
63,6.578313253012048
64,7.023255813953488
65,6.90566037735849
66,6.954545454545454
67,7.340425531914893
68,7.0843373493975905
69,7.364864864864865
70,7.013513513513513
71,6.9480519480519485
72,7.295081967213115
73,8.023809523809524
74,7.222222222222222
75,7.444444444444445
76,7.303030303030303
77,7.571428571428571
78,7.958333333333333
79,7.357142857142857
80,7.538461538461538
81,8.875
82,7.7
83,8.8
84,8.5
85,6.0
86,8.333333333333334
87,6.0
88,8.0
89,9.0
90,8.0
91,8.0
92,9.0
93,10.0
